epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,1890.43,1.68212,0.257,0.49563,0.51477,0.3717,0.38695,0.13552,1.16415,0.38489,0.25881,0.00332893,0.00332893,0.00332893
2,3756.37,1.45278,0.29995,0.31127,0.53277,0.42285,0.43094,0.14534,1.10832,0.39622,0.24293,0.00659631,0.00659631,0.00659631
3,5610.72,1.53757,0.26879,0.31415,0.52185,0.40341,0.40845,0.135,1.11808,0.38976,0.22855,0.00979768,0.00979768,0.00979768
4,7460.55,1.56389,0.25541,0.30588,0.60635,0.47603,0.50971,0.1864,1.03362,0.41105,0.20188,0.009703,0.009703,0.009703
5,9313.21,1.51548,0.26686,0.28271,0.63365,0.51996,0.55705,0.20821,0.98029,0.42629,0.18836,0.009604,0.009604,0.009604
6,11175.7,1.471,0.27852,0.26742,0.66981,0.57279,0.61793,0.25847,0.89985,0.44554,0.17841,0.009505,0.009505,0.009505
7,13037.8,1.45184,0.28355,0.25876,0.67285,0.57907,0.63001,0.26322,0.89224,0.45334,0.17298,0.009406,0.009406,0.009406
8,14888.2,1.42042,0.29121,0.25097,0.66561,0.59461,0.63295,0.27226,0.87559,0.45165,0.17425,0.009307,0.009307,0.009307
9,16743.3,1.42262,0.28895,0.2481,0.65871,0.59686,0.63258,0.26665,0.86633,0.45165,0.16795,0.009208,0.009208,0.009208
10,18601.7,1.40149,0.29429,0.24276,0.6643,0.62849,0.66613,0.30707,0.80814,0.47382,0.16016,0.009109,0.009109,0.009109
11,20453.8,1.39611,0.29541,0.24008,0.67732,0.62901,0.67325,0.3037,0.81192,0.4674,0.15702,0.00901,0.00901,0.00901
12,22312.8,1.40274,0.29273,0.24092,0.67525,0.63484,0.67568,0.31102,0.79799,0.47236,0.1534,0.008911,0.008911,0.008911
13,24172.1,1.38719,0.29704,0.2354,0.67796,0.648,0.68318,0.32186,0.78064,0.47542,0.15221,0.008812,0.008812,0.008812
14,26026.7,1.37111,0.30132,0.23201,0.69102,0.656,0.69577,0.33374,0.76743,0.47395,0.14916,0.008713,0.008713,0.008713
15,27865.7,1.37277,0.2997,0.23201,0.6847,0.6579,0.69331,0.3339,0.76525,0.47454,0.14889,0.008614,0.008614,0.008614
16,29715.8,1.3783,0.29832,0.23251,0.69017,0.66215,0.69811,0.33437,0.76397,0.47536,0.14765,0.008515,0.008515,0.008515
17,31558,1.36619,0.30177,0.2289,0.68995,0.665,0.70174,0.34027,0.75581,0.47803,0.14634,0.008416,0.008416,0.008416
18,33402.8,1.3626,0.30261,0.2284,0.69474,0.6672,0.70677,0.34822,0.74513,0.4799,0.14467,0.008317,0.008317,0.008317
